"month","total_tasks","overdue_tasks"
"2019-03-01 00:00:00-05","6","0"
"2019-05-01 00:00:00-04","45","0"
"2019-06-01 00:00:00-04","104","0"
"2019-07-01 00:00:00-04","344","1"
"2019-08-01 00:00:00-04","357","3"
"2019-09-01 00:00:00-04","405","9"
"2019-10-01 00:00:00-04","378","1"
"2019-11-01 00:00:00-04","430","5"
"2019-12-01 00:00:00-05","311","2"
"2020-01-01 00:00:00-05","614","30"
"2020-02-01 00:00:00-05","773","20"
"2020-03-01 00:00:00-05","964","40"
"2020-04-01 00:00:00-04","355","29"
"2020-05-01 00:00:00-04","832","79"
"2020-06-01 00:00:00-04","1739","128"
"2020-07-01 00:00:00-04","1813","174"
"2020-08-01 00:00:00-04","1729","233"
"2020-09-01 00:00:00-04","1225","104"
